"GEOID","Total.revenue","General.revenue","Intergovernmental.revenue","Taxes","General.sales","Selective.sales","License.taxes","Individual.income.tax","Corporate.income.tax","Other.taxes","Current.charge","Miscellaneous.general.revenue","Utility.revenue","Liquor.stores.revenue","Insurance.trust.revenue","Total.expenditure","Intergovernmental.expenditure","Direct.expenditure","Current.operation","Capital.outlay","Insurance.benefits.and.repayments","Assistance.and.subsidies","Interest.on.debt","Exhibit..Salaries.and.wages","Total.expenditure.1","General.expenditure","Intergovernmental.expenditure.1","Direct.expenditure.1","General.expenditure..by.function.","Education","Public.welfare","Hospitals","Health","Highways","Police.protection","Correction","Natural.resources","Parks.and.recreation","Governmental.administration","Interest.on.general.debt","Other.and.unallocable","Utility.expenditure","Liquor.stores.expenditure","Insurance.trust.expenditure","Debt.at.end.of.fiscal.year","Cash.and.security.holdings","estimate","Row.names","total_employment","state_govt_emp","local_govt_emp","total_govt_emp","govt_as_perc_total","local_emp_as_perc_total","state_emp_as_perc_total"
"06",11.1110121637083,8.56705007703362,2.61276319162726,4.79171370613976,1.05742874673301,0.475885917182984,0.281070750905908,2.54763268657065,0.351102118021723,0.0785934867254817,0.900006509094646,0.262566670171955,0.0245219512916582,NA,2.51944013538306,10.0735107671295,2.93214494116957,7.14136582595994,5.08501114348348,0.3122868872901,1.43240465582787,0.153236790502638,0.158426348855857,1.00066297560016,10.0735107671295,8.59995735613863,2.93214494116957,7.14136582595994,NA,2.84231279104302,3.65109430048959,0.376004381687302,0.209741179610359,0.345127802649545,0.0536722328971884,0.219257262152603,0.156678337470821,0.0298625399872114,0.234091735773931,0.155677102779317,0.28884187678098,0.0611722525619346,NA,1.43240465582787,3.69856733986793,21.7663015082389,1,"California",17631489,476217,1779450,2255667,0.127934004893177,0.100924544716558,0.0270094601766192
"32",7.74052056566081,5.64852969773064,1.8221150578896,3.27836294258275,1.85051652176604,0.785626140919976,0.235791698375242,NA,NA,0.406428581521487,0.307429529582671,0.240622167675622,0.0170287668274132,NA,2.07496210110275,5.97833555713902,1.65677056313758,4.32156499400144,2.77672889958289,0.313771244745796,0.971580032445359,0.210220960832087,0.0492638563953085,0.662510404113603,5.97833555713902,4.98210223315846,1.65677056313758,4.32156499400144,NA,1.89364758634657,1.44966225740837,0.0943751509731925,0.0961262717914454,0.303861683996202,0.0317994120540361,0.112383267022879,0.0488904185262863,0.0114958306166569,0.140023388649238,0.0492638563953085,0.74042771083932,0.026021890860596,NA,0.971580032445359,1.11259521824584,17.6141666851703,1,"Nevada",1408753,35310,103803,139113,0.0987490354945118,0.0736843151354425,0.0250647203590693
"41",10.8610674649614,8.43744895337623,2.67734998497507,3.38020699776721,NA,0.451568028789751,0.274814077087939,2.38440937739645,0.220574443865724,0.0488410706273399,1.52010592272803,0.859786047905917,0.000116470446653267,0.161191708175911,2.26231033296261,10.0536705988155,1.59999738486315,8.45367321395234,6.35465807933211,0.436257371114312,1.44875530382442,0.131761006517744,0.0822414531637466,1.23598098989225,10.0536705988155,8.49210192350579,1.59999738486315,8.45367321395234,NA,2.63568819142221,2.93783722855545,0.628870432802727,0.24464411498563,0.308871391686238,0.0582250533500024,0.235340523506811,0.130108385315232,0.028777159588484,0.5029837985008,0.0822414531637466,0.654281572268701,0.0280739783471512,0.105992949300487,1.44875530382442,3.712833759867,28.0871191676697,1,"Oregon",1953467,40971,206359,247330,0.126610789944238,0.105637310484385,0.0209734794598527
"53",9.25010348986043,7.03733049778994,1.88586753270854,3.78066348852063,2.24835756695574,0.638381779193629,0.235925547807453,NA,NA,0.657998594563801,0.901173902538145,0.469625574022634,0,NA,2.21277299207048,8.2443773435473,2.27345485417755,5.97092248936975,4.1876819176168,0.31610901895394,1.03747798350294,0.219543423670133,0.210110145625934,1.23457048905425,8.2443773435473,7.20034272870449,2.27345485417755,5.97092248936975,NA,3.06060204154262,1.68674628824246,0.489949699538378,0.45237312210642,0.425540851854248,0.0651666703358015,0.139598333735588,0.129604826078283,0.0357339514407342,0.180151907583183,0.210110145625934,0.250961662223412,0.0210930231019082,NA,1.03747798350294,4.80607398029229,20.8614319052926,1,"Washington",3439158,132826,358760,491586,0.142937893519286,0.104316230891398,0.0386216626278874
NA,9.74067592104774,7.42258980648261,2.24952394180012,3.80773678375258,NA,0.587865466521585,0.256900518544136,NA,NA,0.297965433359527,0.907178965985874,0.458150114944032,0.0104167971414312,NA,2.26737139037973,8.58747356665783,2.11559193583696,6.47188163082087,4.60102001000382,0.344606130526037,1.22255449390015,0.178690545380651,0.125010451010212,1.03343121466507,8.58747356665783,7.31862606037684,2.11559193583696,6.47188163082087,NA,2.6080626525886,2.43133501867397,0.3972999162504,0.250721172123464,0.345850432546558,0.0522158421592571,0.17664484660447,0.116320491847656,0.0264673704082716,0.264312707626788,0.124323139491077,0.483628205528103,0.0340902862178975,NA,1.22255449390015,3.33251757456826,22.0822548165929,1,"Far West Average",6108216.75,171331,612093,783424,0.124057930962803,0.096140600306946,0.0279173306558572
