"GEOID","Total.revenue","General.revenue","Intergovernmental.revenue","Taxes","General.sales","Selective.sales","License.taxes","Individual.income.tax","Corporate.income.tax","Other.taxes","Current.charge","Miscellaneous.general.revenue","Utility.revenue","Liquor.stores.revenue","Insurance.trust.revenue","Total.expenditure","Intergovernmental.expenditure","Direct.expenditure","Current.operation","Capital.outlay","Insurance.benefits.and.repayments","Assistance.and.subsidies","Interest.on.debt","Exhibit..Salaries.and.wages","Total.expenditure.1","General.expenditure","Intergovernmental.expenditure.1","Direct.expenditure.1","General.expenditure..by.function.","Education","Public.welfare","Hospitals","Health","Highways","Police.protection","Correction","Natural.resources","Parks.and.recreation","Governmental.administration","Interest.on.general.debt","Other.and.unallocable","Utility.expenditure","Liquor.stores.expenditure","Insurance.trust.expenditure","Debt.at.end.of.fiscal.year","Cash.and.security.holdings","estimate","Row.names","total_employment","state_govt_emp","local_govt_emp","total_govt_emp","govt_as_perc_total","local_emp_as_perc_total","state_emp_as_perc_total"
"06",11111.0121637083,8567.05007703362,2612.76319162726,4791.71370613976,1057.42874673301,475.885917182984,281.070750905908,2547.63268657065,351.102118021723,78.5934867254817,900.006509094646,262.566670171955,24.5219512916582,NA,2519.44013538306,10073.5107671295,2932.14494116957,7141.36582595994,5085.01114348348,312.2868872901,1432.40465582787,153.236790502638,158.426348855857,1000.66297560016,10073.5107671295,8599.95735613864,2932.14494116957,7141.36582595994,NA,2842.31279104302,3651.09430048959,376.004381687302,209.741179610359,345.127802649545,53.6722328971884,219.257262152603,156.678337470821,29.8625399872114,234.091735773931,155.677102779317,288.84187678098,61.1722525619346,NA,1432.40465582787,3698.56733986794,21766.3015082389,1000,"California",17631489,476217,1779450,2255667,0.127934004893177,0.100924544716558,0.0270094601766192
"32",7740.52056566081,5648.52969773064,1822.1150578896,3278.36294258275,1850.51652176604,785.626140919976,235.791698375242,NA,NA,406.428581521487,307.429529582671,240.622167675622,17.0287668274132,NA,2074.96210110275,5978.33555713902,1656.77056313758,4321.56499400144,2776.72889958289,313.771244745796,971.580032445359,210.220960832087,49.2638563953085,662.510404113603,5978.33555713902,4982.10223315846,1656.77056313758,4321.56499400144,NA,1893.64758634657,1449.66225740837,94.3751509731925,96.1262717914454,303.861683996202,31.7994120540361,112.383267022879,48.8904185262863,11.4958306166569,140.023388649238,49.2638563953085,740.42771083932,26.021890860596,NA,971.580032445359,1112.59521824584,17614.1666851703,1000,"Nevada",1408753,35310,103803,139113,0.0987490354945118,0.0736843151354425,0.0250647203590693
"41",10861.0674649614,8437.44895337623,2677.34998497507,3380.20699776721,NA,451.568028789751,274.814077087939,2384.40937739645,220.574443865724,48.8410706273399,1520.10592272803,859.786047905917,0.116470446653267,161.191708175911,2262.31033296261,10053.6705988155,1599.99738486315,8453.67321395234,6354.65807933211,436.257371114312,1448.75530382442,131.761006517744,82.2414531637466,1235.98098989225,10053.6705988155,8492.10192350579,1599.99738486315,8453.67321395234,NA,2635.68819142221,2937.83722855545,628.870432802727,244.64411498563,308.871391686238,58.2250533500024,235.340523506811,130.108385315232,28.777159588484,502.9837985008,82.2414531637466,654.281572268701,28.0739783471512,105.992949300487,1448.75530382442,3712.833759867,28087.1191676697,1000,"Oregon",1953467,40971,206359,247330,0.126610789944238,0.105637310484385,0.0209734794598527
"53",9250.10348986042,7037.33049778994,1885.86753270854,3780.66348852063,2248.35756695574,638.381779193629,235.925547807453,NA,NA,657.998594563801,901.173902538145,469.625574022634,0,NA,2212.77299207048,8244.3773435473,2273.45485417755,5970.92248936975,4187.6819176168,316.10901895394,1037.47798350294,219.543423670133,210.110145625934,1234.57048905425,8244.3773435473,7200.34272870449,2273.45485417755,5970.92248936975,NA,3060.60204154262,1686.74628824246,489.949699538378,452.37312210642,425.540851854248,65.1666703358015,139.598333735588,129.604826078283,35.7339514407342,180.151907583183,210.110145625934,250.961662223412,21.0930231019082,NA,1037.47798350294,4806.07398029229,20861.4319052926,1000,"Washington",3439158,132826,358760,491586,0.142937893519286,0.104316230891398,0.0386216626278874
NA,9740.67592104774,7422.58980648261,2249.52394180012,3807.73678375258,NA,587.865466521585,256.900518544136,NA,NA,297.965433359527,907.178965985874,458.150114944032,10.4167971414312,NA,2267.37139037973,8587.47356665783,2115.59193583696,6471.88163082087,4601.02001000382,344.606130526037,1222.55449390015,178.690545380651,125.010451010212,1033.43121466507,8587.47356665783,7318.62606037684,2115.59193583696,6471.88163082087,NA,2608.0626525886,2431.33501867397,397.2999162504,250.721172123464,345.850432546558,52.2158421592571,176.64484660447,116.320491847656,26.4673704082716,264.312707626788,124.323139491077,483.628205528103,34.0902862178975,NA,1222.55449390015,3332.51757456826,22082.2548165929,1000,"Far West Average",6108216.75,171331,612093,783424,0.124057930962803,0.096140600306946,0.0279173306558572
